zip,bipd_factor,coll_factor,comp_factor,mpc_factor,um_factor,ers_factor
90001,1.439,1.389,1.79,1.104,1.502,0.441
90002,1.522,1.444,1.957,1.829,1.434,0.441
90003,1.582,1.468,1.734,1.829,1.462,0.441
90004,1.547,1.405,1.295,1.926,1.241,0.441
90005,1.63,1.541,1.421,1.618,1.502,0.441
90006,1.547,1.389,1.225,1.893,1.828,0.441
90007,1.547,1.468,1.225,1.487,1.334,0.441
90008,1.556,1.468,1.429,1.456,1.665,0.441
90010,1.52,1.521,1.351,1.741,1.36,0.441
90011,1.609,1.444,1.615,1.771,1.462,0.441
90012,1.448,1.538,1.025,1.488,1.221,0.441
90013,1.502,1.311,1.084,1.563,1.408,0.441
90014,1.395,1.438,1.359,1.487,1.116,0.441
90015,1.556,1.583,1.288,1.879,1.287,0.441
90016,1.556,1.438,1.288,1.723,1.383,0.441
90017,1.603,1.485,1.429,1.444,1.266,0.441
90018,1.529,1.346,1.421,1.481,1.801,0.441
90019,1.529,1.389,1.084,1.488,1.567,0.441
90020,1.575,1.389,1.225,1.893,1.434,0.441
90021,1.421,1.415,1.477,1.563,1.334,0.441
90022,1.349,1.349,1.421,1.124,1.058,0.62
90023,1.415,1.309,1.563,1.142,1.244,0.62
90024,1.37,1.545,0.926,1.314,1.289,0.512
90025,1.446,1.195,0.825,1.081,1.155,0.512
90026,1.395,1.163,1.051,1.088,1.408,0.441
90027,1.475,1.538,1.429,2.147,1.397,0.441
90028,1.506,1.485,1.429,2.147,1.548,0.441
90029,1.603,1.444,1.429,2.147,1.638,0.441
90031,1.326,1.287,1.351,1.444,1.348,0.62
90032,1.349,1.313,1.429,1.386,1.07,0.62
90033,1.391,1.341,1.524,1.606,1.266,0.62
90034,1.475,1.23,0.993,1.244,0.984,0.494
90035,1.462,1.364,1.044,1.35,1.554,0.494
90036,1.547,1.397,0.993,1.639,1.37,0.441
90037,1.609,1.468,1.615,1.805,1.638,0.441
90038,1.603,1.485,1.359,2.147,1.7,0.441
90039,1.317,1.309,1.025,1.023,0.962,0.441
90040,1.149,1.244,1.351,1.151,1.244,0.62
90041,1.271,1.17,0.955,1.142,0.971,0.673
90042,1.342,1.275,1.077,1.435,1.189,0.673
90043,1.556,1.389,1.225,1.77,1.462,0.441
90044,1.582,1.485,1.784,1.77,1.665,0.441
90045,1.177,1.064,0.937,0.959,1.155,0.566
90046,1.462,1.415,1.025,1.401,1.37,0.441
90047,1.497,1.468,1.5,1.401,1.462,0.441
90048,1.502,1.415,1.12,1.526,1.437,0.441
90049,1.317,1.356,0.955,1.014,1.161,0.512
90056,1.366,1.309,1.351,0.996,1.276,0.494
90057,1.603,1.444,1.288,2.085,1.665,0.441
90058,1.303,1.313,1.554,1.581,1.523,0.441
90059,1.522,1.405,1.784,1.563,1.434,0.441
90061,1.471,1.405,1.693,1.77,1.665,0.441
90062,1.556,1.485,1.563,1.668,1.638,0.441
90063,1.415,1.287,1.421,1.219,1.469,0.62
90064,1.37,1.244,0.985,0.939,1.081,0.512
90065,1.415,1.187,1.077,1.098,1.158,0.62
90066,1.33,1.158,0.937,1.132,0.97,0.512
90067,1.497,1.619,0.955,1.051,1.309,0.512
90068,1.294,1.364,1.077,1.41,0.98,0.441
90069,1.475,1.583,1.077,1.264,1.401,0.441
90071,0.982,1.156,1.429,1.337,1.221,0.441
90073,1.446,1.195,0.825,1.081,1.155,0.512
90077,1.446,1.476,0.955,1.014,1.187,0.512
90089,1.547,1.468,1.225,1.487,1.334,0.441
90094,1.035,1.191,0.993,1.142,1.06,0.512
90095,1.37,1.545,0.926,1.314,1.289,0.512
90201,1.326,1.365,1.693,1.049,1.567,0.62
90210,1.446,1.619,1.378,1.264,1.299,0.441
90211,1.547,1.415,1.077,1.668,1.577,0.441
90212,1.475,1.583,1.421,1.104,1.38,0.441
90220,1.439,1.349,1.667,1.088,1.665,0.62
90221,1.439,1.389,1.851,1.456,1.523,0.62
90222,1.275,1.349,1.667,1.563,1.36,0.441
90230,1.339,1.153,0.873,1.063,0.984,0.494
90232,1.288,1.117,0.937,0.964,0.996,0.494
90240,1.249,1.232,1.429,1.124,1.125,0.692
90241,1.174,1.197,1.295,1.35,1.107,0.692
90242,1.253,1.191,1.295,1.264,1.244,0.692
90245,1.066,0.873,0.885,1.011,0.905,0.566
90247,1.415,1.275,1.421,1.481,1.431,0.952
90248,1.16,1.153,1.142,1.081,1.315,0.952
90249,1.288,1.149,1.288,1.239,1.048,0.952
90250,1.471,1.307,1.295,1.234,1.348,0.952
90254,0.972,0.98,0.779,0.688,1.027,0.566
90255,1.439,1.364,1.615,1.185,1.312,0.62
90260,1.268,1.187,1.225,1.284,1.044,0.952
90262,1.439,1.397,1.957,1.337,1.348,0.62
90263,1.253,1.38,1.051,0.838,1.161,0.512
90265,1.253,1.38,1.051,0.838,1.161,0.512
90266,1.097,1.023,0.873,0.748,1.003,0.566
90270,1.439,1.349,1.653,0.964,1.241,0.62
90272,1.198,1.206,0.873,1.011,1.153,0.512
90274,0.951,0.984,0.795,0.722,0.919,0.566
90275,1.075,0.994,0.795,0.914,1.027,0.566
90277,0.99,0.96,0.779,0.864,0.859,0.566
90278,1.109,0.899,0.825,0.808,1.079,0.566
90280,1.415,1.326,1.615,1.239,1.266,0.62
90290,1.33,1.163,1.084,0.994,1.188,0.512
90291,1.266,1.23,0.991,0.931,0.898,0.512
90292,1.256,1.273,0.985,1.132,1.104,0.512
90293,1.083,1.073,0.825,1.014,1.187,0.566
90301,1.471,1.346,1.615,1.435,1.397,0.494
90302,1.575,1.389,1.429,1.638,1.286,0.494
90303,1.471,1.309,1.478,1.329,1.523,0.494
90304,1.187,1.187,1.563,1.456,1.048,0.494
90305,1.529,1.364,1.554,1.563,1.397,0.494
90401,1.37,1.268,1.077,1.183,0.996,0.512
90402,1.391,1.311,1.025,0.781,1.066,0.512
90403,0.999,1.117,0.93,1.19,1.064,0.512
90404,1.266,1.268,0.985,1.007,0.984,0.512
90405,1.306,1.11,0.897,0.939,0.996,0.512
90501,1.215,1.068,0.926,1.081,1.043,0.566
90502,1.16,1.114,0.937,1.271,0.984,0.952
90503,1.035,0.908,0.825,1.142,0.996,0.566
90504,1.16,1.003,0.937,1.124,1.012,0.566
90505,0.99,0.96,0.795,1.193,0.937,0.566
90601,1.228,1.11,1.077,1.023,1.151,0.674
90602,1.271,1.087,1.044,0.964,1.053,0.674
90603,1.083,0.943,0.93,0.805,1.064,0.674
90604,1.16,0.999,0.993,0.931,0.918,0.674
90605,1.187,1.046,1.077,0.902,1.06,0.674
90606,1.303,1.156,1.288,0.91,1.176,0.674
90620,1.209,1.02,0.885,1.307,1.06,0.755
90621,1.366,1.15,0.985,1.679,1.17,0.755
90623,1.28,1.033,0.779,1.435,1.121,0.755
90630,1.083,0.956,0.845,1.014,0.86,0.719
90631,1.28,1.024,0.885,1.063,0.884,0.755
90638,1.253,1.024,0.885,1.124,1.06,0.674
90639,1.253,1.024,0.885,1.124,1.06,0.736
90640,1.349,1.209,1.295,1.639,1.277,0.692
90650,1.215,1.158,1.288,1.234,1.176,0.674
90660,1.209,1.117,1.288,0.939,1.075,0.692
90670,1.231,1.04,1.077,0.926,0.962,0.674
90680,1.33,1.187,0.985,1.581,1.186,0.755
90701,1.288,1.12,0.937,1.142,1.043,0.674
90703,1.083,1.042,0.885,1.184,1.043,0.674
90704,0.7,0.833,0.873,0.849,1.127,0.917
90706,1.326,1.209,1.084,1.023,1.244,0.692
90710,1.228,1.103,1.025,1.252,1.133,0.736
90712,1.16,0.999,0.93,1.122,1.082,0.692
90713,1.064,0.939,0.936,0.838,0.834,0.719
90715,1.303,1.073,1.051,1.271,1.075,0.674
90716,1.209,1.11,1.295,1.36,1.012,0.674
90717,1.187,1.016,0.937,1.019,1.086,0.736
90720,1.075,0.873,0.845,1.011,0.866,0.719
90723,1.349,1.287,1.477,1.219,0.839,0.692
90731,1.288,1.163,1.085,0.95,1.291,0.736
90732,0.988,1.033,0.897,0.838,1.064,0.736
90740,0.949,0.846,0.835,0.913,1.019,0.719
90742,0.984,1.07,0.982,0.878,0.95,0.719
90743,0.984,1.07,0.982,0.878,0.95,0.719
90744,1.253,1.238,1.295,1.2,1.075,0.736
90745,1.204,1.149,0.885,0.956,1.133,0.952
90746,1.268,1.163,1.295,1.124,1.176,0.952
90747,1.268,1.163,1.295,1.124,1.176,0.952
90755,1.271,1.042,0.993,1.244,1.186,0.692
90802,1.37,1.268,0.932,1.007,1.012,0.692
90803,0.982,0.96,0.923,0.868,0.866,0.719
90804,1.366,1.243,0.991,1.344,1.233,0.692
90805,1.326,1.313,1.524,1.481,1.221,0.692
90806,1.326,1.175,1.085,1.581,1.241,0.692
90807,1.268,1.11,0.991,0.942,0.996,0.692
90808,1.064,0.96,0.888,0.837,0.947,0.719
90810,1.187,1.264,1.084,1.007,1.22,0.692
90813,1.446,1.341,1.12,1.444,1.194,0.692
90814,1.148,1.087,0.888,0.878,0.96,0.692
90815,1.099,1.003,0.888,0.913,0.905,0.719
90822,1.099,1.003,0.888,0.913,0.905,0.692
90840,1.099,1.003,0.888,0.913,0.905,0.719
91001,1.303,1.102,0.985,1.023,1.199,0.585
91006,1.198,1.115,0.825,0.971,0.878,1.203
91007,1.391,1.232,0.825,1.252,1.032,1.203
91008,1.041,1.029,1.025,1.014,1.043,1.203
91010,1.215,1.091,0.985,0.91,0.925,1.203
91011,1.108,1.133,0.985,1.193,0.937,0.638
91016,1.048,1.029,0.93,0.931,1.032,1.203
91020,1.326,1.17,0.885,1.805,1.577,0.638
91023,1.293,1.197,1.044,1.487,1.431,0.629
91024,0.822,0.855,0.885,0.796,0.785,1.203
91030,1.174,1.083,0.787,1.02,0.951,0.585
91040,1.396,1.356,1.225,1.77,1.416,0.638
91042,1.464,1.545,1.643,2.147,1.548,0.638
91046,1.326,1.17,0.885,1.805,1.577,0.638
91101,1.339,1.203,0.897,1.151,0.98,0.585
91103,1.391,1.287,1.288,0.968,1.166,0.585
91104,1.342,1.244,1.288,1.563,1.189,0.585
91105,1.083,1.095,1.077,0.786,0.919,0.585
91106,1.177,1.203,0.93,0.991,1.199,1.203
91107,1.187,1.115,0.993,1.264,1.189,1.203
91108,1.16,1.205,0.825,0.808,0.886,1.203
91126,1.339,1.203,0.897,1.151,0.98,1.203
91201,1.556,1.592,1.615,2.147,1.828,0.673
