MSRP_range,MSRP_min,MSRP_max,GRG,DRG,VSD,LRG
$0 - $2200,0,2200,1,1,C,5
$2201 - $3000,2201,3000,2,2,C,5
$3001 - $4000,3001,4000,3,3,C,5
$4001 - $5000,4001,5000,4,4,C,5
$5001 - $6000,5001,6000,5,5,C,5
$6001 - $7000,6001,7000,6,6,C,5
$7001 - $8000,7001,8000,7,7,C,5
$8001 - $9000,8001,9000,8,8,C,5
$9001 - $10000,9001,10000,9,9,C,5
$10001 - $11000,10001,11000,10,10,C,5
$11001 - $12000,11001,12000,11,11,C,5
$12001 - $14000,12001,14000,12,12,C,5
$14001 - $16000,14001,16000,13,13,C,5
$16001 - $18000,16001,18000,14,14,C,5
$18001 - $20000,18001,20000,15,15,C,5
$20001 - $22000,20001,22000,16,16,C,5
$22001 - $24000,22001,24000,17,17,C,5
$24001 - $26000,24001,26000,18,18,C,5
$26001 - $28000,26001,28000,19,19,C,5
$28001 - $30000,28001,30000,20,20,C,5
$30001 - $33000,30001,33000,21,21,C,5
$33001 - $36000,33001,36000,22,22,C,5
$36001 - $40000,36001,40000,23,23,C,5
$40001 - $45000,40001,45000,24,24,C,5
$45001 - $50000,45001,50000,25,25,C,5
$50001 - $55000,50001,55000,26,26,C,5
$55001 - $60000,55001,60000,27,27,C,5
$60001 - $65000,60001,65000,28,28,C,5
$65001 - $70000,65001,70000,29,29,C,5
$70001 - $75000,70001,75000,30,30,C,5
