year,make,model,series,package,style,engine,code ,grg,drg,vsd,lrg
2024,AUDI,A3,PREMIUM,,4D SED,HYBRID,2024AUDIA3PREMIUM4D SEDHYBRID,24,24,C,6
2024,AUDI,A3,PREMIUM,,4D SED,HYBRID,2024AUDIA3PREMIUM4D SEDHYBRID,24,24,C,6
2024,AUDI,A3,PREMIUM PLUS,,4D SED,HYBRID,2024AUDIA3PREMIUM PLUS4D SEDHYBRID,25,25,C,6
2024,AUDI,A3,PREMIUM PLUS,,4D SED,HYBRID,2024AUDIA3PREMIUM PLUS4D SEDHYBRID,25,25,C,6
2024,AUDI,A3,QUATTRO PREM,,4D SED,HYBRID,2024AUDIA3QUATTRO PREM4D SEDHYBRID,25,25,C,6
2024,AUDI,A3,QUATTRO PREM PLUS,,4D SED,HYBRID,2024AUDIA3QUATTRO PREM PLUS4D SEDHYBRID,26,26,C,6
2024,AUDI,A3,QUATTRO PREM PLUS,,4D SED,HYBRID,2024AUDIA3QUATTRO PREM PLUS4D SEDHYBRID,26,26,C,6
2024,AUDI,A3,QUATTRO PREMIUM,,4D SED,HYBRID,2024AUDIA3QUATTRO PREMIUM4D SEDHYBRID,25,25,C,6
2024,AUDI,A4,2.0 ALLROAD QUATTRO,PREMIUM,4D SED,HYBRID,2024AUDIA42.0 ALLROAD QUATTROPREMIUM4D SEDHYBRID,28,27,C,5
2024,AUDI,A4,2.0 ALLROAD QUATTRO,PREMIUM PLUS,4D SED,HYBRID,2024AUDIA42.0 ALLROAD QUATTROPREMIUM PLUS4D SEDHYBRID,30,28,C,5
2024,AUDI,A4,2.0 ALLROAD QUATTRO,PRESTIGE,4D SED,HYBRID,2024AUDIA42.0 ALLROAD QUATTROPRESTIGE4D SEDHYBRID,31,29,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUM4D SEDHYBRID,26,25,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUM4D SEDHYBRID,26,25,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM,S-LINE,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUMS-LINE4D SEDHYBRID,26,25,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM PLUS,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUM PLUS4D SEDHYBRID,28,26,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM PLUS,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUM PLUS4D SEDHYBRID,28,26,C,5
2024,AUDI,A4,2.0 QUATTRO PREMIUM PLU S-LINE,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PREMIUM PLU S-LINE4D SEDHYBRID,27,26,C,5
2024,AUDI,A4,2.0 QUATTRO PRESTIGE,,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PRESTIGE4D SEDHYBRID,30,27,C,5
2024,AUDI,A4,2.0 QUATTRO PRESTIGE,S-LINE,4D SED,HYBRID,2024AUDIA42.0 QUATTRO PRESTIGES-LINE4D SEDHYBRID,30,27,C,5
2024,AUDI,A5,2.0T QUATTRO PREMIUM,,2D CV,,2024AUDIA52.0T QUATTRO PREMIUM2D CV,28,28,D,6
2024,AUDI,A5,2.0T QUATTRO PRESTIGE,,2D CV,,2024AUDIA52.0T QUATTRO PRESTIGE2D CV,30,30,D,6
2024,AUDI,A5,2.0T QUATTRO PREM PLUS,,2D CV,,2024AUDIA52.0T QUATTRO PREM PLUS2D CV,29,29,D,6
2024,AUDI,A6,ALLROAD PREMIUM PLUS,,4D SED,,2024AUDIA6ALLROAD PREMIUM PLUS4D SED,30,31,C,4
2024,AUDI,A6,ALLROAD PRESTIGE,,4D SED,,2024AUDIA6ALLROAD PRESTIGE4D SED,31,32,C,4
2024,AUDI,A6,2.0T QUATTRO PREM PLUS,,4D SED,,2024AUDIA62.0T QUATTRO PREM PLUS4D SED,31,31,B,5
2024,AUDI,A6,2.0T QUATTRO PREMIUM,,4D SED,,2024AUDIA62.0T QUATTRO PREMIUM4D SED,30,30,B,5
2024,AUDI,A6,3.0T QUATTRO PREM PLUS,,4D SED,,2024AUDIA63.0T QUATTRO PREM PLUS4D SED,32,32,B,5
2024,AUDI,A6,3.0T QUATTRO PREMIUM,,4D SED,,2024AUDIA63.0T QUATTRO PREMIUM4D SED,31,31,B,5
2024,AUDI,A6,3.0T QUATTRO PRESTIGE,,4D SED,,2024AUDIA63.0T QUATTRO PRESTIGE4D SED,33,33,B,5
2024,AUDI,A8,L 55 3.0T QUATTRO,,4D SED,,2024AUDIA8L 55 3.0T QUATTRO4D SED,43,46,C,5
2024,AUDI,RS 3,2.5T QUATTRO,,4D SED,,2024AUDIRS 32.5T QUATTRO4D SED,29,28,B,4
2024,AUDI,RS 3,2.5T QUATTRO,,4D SED,,2024AUDIRS 32.5T QUATTRO4D SED,29,28,B,4
2024,AUDI,S3,QUATTRO PREMIUM,,4D SED,,2024AUDIS3QUATTRO PREMIUM4D SED,26,27,B,4
2024,AUDI,S3,QUATTRO PREMIUM PLUS,,4D SED,,2024AUDIS3QUATTRO PREMIUM PLUS4D SED,26,27,B,4
2024,AUDI,S3,QUATTRO PRESTIGE,,4D SED,,2024AUDIS3QUATTRO PRESTIGE4D SED,27,28,B,4
2024,AUDI,S5,3.0T QUATTRO PLUS,,2D CV,,2024AUDIS53.0T QUATTRO PLUS2D CV,28,27,A,4
2024,AUDI,S5,3.0T QUATTRO PREMIUM,,2D CV,,2024AUDIS53.0T QUATTRO PREMIUM2D CV,28,27,A,4
2024,AUDI,S5,3.0T QUATTRO PRESTIGE,,2D CV,,2024AUDIS53.0T QUATTRO PRESTIGE2D CV,29,28,A,4
2024,AUDI,S6,S6 QUATTRO,PREMIUM,4D SED,,2024AUDIS6S6 QUATTROPREMIUM4D SED,36,34,C,5
2024,AUDI,S6,S6 QUATTRO,PREMIUM PLUS,4D SED,,2024AUDIS6S6 QUATTROPREMIUM PLUS4D SED,37,35,C,5
2024,AUDI,S6,S6 QUATTRO,PRESTIGE,4D SED,,2024AUDIS6S6 QUATTROPRESTIGE4D SED,38,36,C,5
2024,AUDI,E-TRON,E-TRON GT,PREMIUM PLUS,AWD 4D,ELECTRIC,2024AUDIE-TRONE-TRON GTPREMIUM PLUSAWD 4DELECTRIC,37,37,B,4
2024,AUDI,E-TRON,E-TRON GT,PREMIUM PLUS/PERF. PKG.,AWD 4D,ELECTRIC,2024AUDIE-TRONE-TRON GTPREMIUM PLUS/PERF. PKG.AWD 4DELECTRIC,38,38,B,4
