MAKE,MODEL,SERIES,OPTIONPACKAGE,BODYSTYLE,Wheelbase,ENGINE,GRG,DRG,VSD,LRG,YEAR
ACURA,INTEGRA,,,4D HB,,,22,22,D,3,2024
ACURA,INTEGRA,A-SPEC,,4D HB,,,23,22,D,2,2024
ACURA,INTEGRA,A-SPEC,TECH,4D HB,,,23,23,D,2,2024
ACURA,INTEGRA,TYPE-S,,4D SED,,GAS,24,24,D,3,2024
ACURA,MDX,,,2WD 4D,,,22,24,C,3,2024
ACURA,MDX,,,4WD 4D,,,23,25,C,4,2024
ACURA,MDX,,ADVANCE PKG,4WD 4D,,,24,28,C,4,2024
ACURA,MDX,,TECH PKG,2WD 4D,,,23,26,C,3,2024
ACURA,MDX,,TECH PKG,4WD 4D,,,23,28,C,3,2024
ACURA,MDX,A-SPEC,,4WD 4D,,,24,28,C,3,2024
ACURA,MDX,TYPE S,,4WD 4D,,,28,32,C,6,2024
ACURA,MDX,TYPE S,ADVANCE PKG,4WD 4D,,,26,34,C,2,2024
ACURA,RDX,,,AWD 4D,,,19,22,C,3,2024
ACURA,RDX,ADVANCE PKG,,AWD 4D,,,21,25,C,2,2024
ACURA,RDX,A-SPEC PKG,,AWD 4D,,,20,24,C,2,2024
ACURA,RDX,A-SPEC W/ADV PKG,,AWD 4D,,,22,25,C,2,2024
ACURA,RDX,TECHNOLOGY PKG,,AWD 4D,,,20,24,C,2,2024
ACURA,TLX,2.0T,A-SPEC,AWD 4D,,,27,26,C,4,2024
ACURA,TLX,2.0T,TECH PKG,4D SED,,,26,25,D,4,2024
ACURA,TLX,TYPE-S,,AWD 4D,,,28,31,C,5,2024
ALFA ROMEO,GIULIA,COMPETIZIONE,,4D SED,,,31,26,D,6,2024
ALFA ROMEO,GIULIA,COMPETIZIONE,,AWD 4D,,,32,26,D,5,2024
ALFA ROMEO,GIULIA,QUADRIFOGLIO,,4D SED,,,44,40,D,9,2024
ALFA ROMEO,GIULIA,QUADRIFOGLIO,100TH ANNIVERSARY,4D SED,,,45,40,D,9,2024
ALFA ROMEO,GIULIA,SPRINT,,4D SED,,,28,23,D,6,2024
ALFA ROMEO,GIULIA,SPRINT,,AWD 4D,,,30,25,D,6,2024
ALFA ROMEO,GIULIA,TI,,4D SED,,,31,25,D,5,2024
ALFA ROMEO,GIULIA,TI,,AWD 4D,,,32,26,D,5,2024
ALFA ROMEO,GIULIA,VELOCE,,4D SED,,,31,25,D,6,2024
ALFA ROMEO,GIULIA,VELOCE,,AWD 4D,,,32,27,D,5,2024
ALFA ROMEO,STELVIO,COMPETIZIONE,,AWD 4D,,,28,28,C,3,2024
ALFA ROMEO,STELVIO,QUADRIFOGLIO,,AWD 4D,,,36,40,C,9,2024
ALFA ROMEO,STELVIO,QUADRIFOGLIO,100TH ANNIVERSARY,AWD 4D,,,36,39,B,8,2024
ALFA ROMEO,STELVIO,SPRINT,,2WD 4D,,,25,25,C,4,2024
ALFA ROMEO,STELVIO,SPRINT,,AWD 4D,,,25,25,C,4,2024
ALFA ROMEO,STELVIO,TI,,AWD 4D,,,28,28,C,2,2024
ALFA ROMEO,STELVIO,VELOCE,,AWD 4D,,,27,28,C,3,2024
ALFA ROMEO,TONALE,SPRINT,,AWD 4D,,PHEV,25,25,B,4,2024
ALFA ROMEO,TONALE,TI,,AWD 4D,,PHEV,24,24,B,3,2024
ALFA ROMEO,TONALE,VELOCE,,AWD 4D,,PHEV,24,25,B,3,2024
ASTON MARTIN,DB12,,,2D CPE,,,77,79,C,8,2024
ASTON MARTIN,DB12,VOLANTE,,2D CV,,,80,84,C,9,2024
ASTON MARTIN,DBX,,,4DR,,,64,68,C,8,2024
AUDI,A3,PREMIUM,,4D SED,,HYBRID,23,21,B,5,2024
AUDI,A3,PREMIUM,,4D SED,,HYBRID,25,21,B,3,2024
AUDI,A3,PREMIUM PLUS,,4D SED,,HYBRID,24,22,B,5,2024
AUDI,A3,PREMIUM PLUS,,4D SED,,HYBRID,25,22,B,4,2024
AUDI,A3,QUATTRO PREM,,4D SED,,HYBRID,24,22,B,5,2024
AUDI,A3,QUATTRO PREM PLUS,,4D SED,,HYBRID,25,25,B,5,2024
AUDI,A3,QUATTRO PREM PLUS,,4D SED,,HYBRID,26,24,B,5,2024
AUDI,A3,QUATTRO PREMIUM,,4D SED,,HYBRID,26,24,B,5,2024
AUDI,A4,2.0 ALLROAD QUATTRO,PREMIUM,4D SED,,HYBRID,28,25,C,5,2024
AUDI,A4,2.0 ALLROAD QUATTRO,PREMIUM PLUS,4D SED,,HYBRID,28,28,C,3,2024
AUDI,A4,2.0 ALLROAD QUATTRO,PRESTIGE,4D SED,,HYBRID,29,29,C,4,2024
AUDI,A4,2.0 QUATTRO PREMIUM,,4D SED,,HYBRID,26,23,C,5,2024
AUDI,A4,2.0 QUATTRO PREMIUM,,4D SED,,HYBRID,27,25,C,4,2024
AUDI,A4,2.0 QUATTRO PREMIUM,S-LINE,4D SED,,HYBRID,27,26,C,3,2024
AUDI,A4,2.0 QUATTRO PREMIUM,PLUS,4D SED,,HYBRID,28,24,C,5,2024
AUDI,A4,2.0 QUATTRO PREMIUM,PLUS,4D SED,,HYBRID,28,25,C,5,2024
AUDI,A4,2.0 QUATTRO PREMIUM,PLUSS-LINE,4D SED,,HYBRID,28,27,C,2,2024
AUDI,A4,2.0 QUATTRO PRESTIGE,,4D SED,,HYBRID,29,26,C,5,2024
AUDI,A4,2.0 QUATTRO PRESTIGE,S-LINE,4D SED,,HYBRID,29,27,C,4,2024
AUDI,A5,2.0 QUATTRO PREM,PLUS SPORTBACK,4D HB,,,32,33,C,1,2024
AUDI,A5,2.0 QUATTRO PREM,PLUS S SPORTBACK,4D HB,,,31,26,D,2,2024
AUDI,A5,2.0 QUATTRO PREM,PLUS S SPORTBACK,4D HB,,,31,28,C,1,2024
