GRG,50,100,200,250,500,1000,1000 W/20%,2000
1,0.37,0.36,0.33,0.32,0.26,0.15,0.15,0.11
2,0.42,0.4,0.38,0.36,0.3,0.18,0.16,0.14
3,0.47,0.46,0.42,0.41,0.35,0.2,0.19,0.16
4,0.54,0.49,0.47,0.46,0.39,0.23,0.22,0.18
5,0.59,0.55,0.52,0.5,0.44,0.26,0.24,0.19
6,0.67,0.62,0.59,0.57,0.5,0.3,0.29,0.23
7,0.76,0.7,0.63,0.6,0.53,0.37,0.35,0.27
8,0.81,0.75,0.69,0.65,0.56,0.4,0.38,0.3
9,0.87,0.81,0.74,0.71,0.6,0.44,0.42,0.33
10,0.92,0.86,0.79,0.75,0.65,0.48,0.45,0.36
11,0.99,0.91,0.84,0.81,0.7,0.51,0.48,0.38
12,1.07,0.99,0.91,0.87,0.77,0.57,0.54,0.44
13,1.15,1.07,0.99,0.95,0.86,0.62,0.59,0.51
14,1.24,1.15,1.07,1.01,0.93,0.69,0.65,0.56
15,1.29,1.2,1.12,1.09,1,0.72,0.68,0.61
16,1.35,1.26,1.18,1.16,1.06,0.83,0.79,0.65
17,1.4,1.31,1.23,1.21,1.12,0.88,0.83,0.7
18,1.46,1.36,1.3,1.28,1.18,0.93,0.86,0.74
19,1.51,1.42,1.37,1.34,1.24,0.97,0.92,0.79
20,1.59,1.5,1.42,1.41,1.3,1.02,0.97,0.84
21,1.71,1.61,1.51,1.48,1.38,1.1,1.03,0.9
22,1.84,1.73,1.63,1.58,1.47,1.17,1.1,0.96
23,1.98,1.87,1.76,1.7,1.59,1.27,1.19,1.06
24,2.13,2,1.89,1.85,1.73,1.4,1.32,1.16
25,2.26,2.14,2.02,1.96,1.84,1.55,1.46,1.24
26,2.41,2.26,2.15,2.06,1.93,1.63,1.53,1.31
27,2.54,2.39,2.26,2.16,2.02,1.72,1.62,1.38
28,2.69,2.52,2.39,2.27,2.12,1.82,1.71,1.46
29,2.82,2.64,2.52,2.39,2.21,1.91,1.79,1.52
30,2.96,2.78,2.63,2.51,2.3,2,1.88,1.59
31,3.1,2.9,2.76,2.62,2.39,2.08,1.95,1.66
32,3.24,3.03,2.88,2.74,2.48,2.17,2.03,1.73
33,3.38,3.15,3,2.86,2.58,2.26,2.12,1.81
34,3.51,3.28,3.13,2.97,2.67,2.34,2.2,1.87
35,3.65,3.42,3.24,3.09,2.76,2.42,2.26,1.94
