zip,county,city,cdi_location
90001,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90002,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90003,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90004,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90005,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90006,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90007,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90008,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90009,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90010,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90011,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90012,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90013,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90014,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90015,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90016,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90017,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90018,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90019,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90020,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90021,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90022,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90023,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90024,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90025,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90026,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90027,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90028,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90029,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90030,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90031,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90032,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90033,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90034,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90035,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
90036,LOS ANGELES,LOS ANGELES,LOS ANGELES ALHAMBRA
